date,plant_id,plant_name,energy_source,mwh_produced
2020-01-15,PL02,Espoo Plant,Solar,36
2020-01-15,PL03,Oulu Plant,Biomass,292
2020-01-15,PL04,Tampere Plant,Nuclear,1113
2020-01-15,PL05,Rovaniemi Plant,Hydro,416
2020-01-16,PL01,Vaasa Plant,Wind,100
2020-01-16,PL02,Espoo Plant,Solar,53
2020-01-16,PL03,Oulu Plant,Biomass,305
2020-01-16,PL04,Tampere Plant,Nuclear,1089
2020-01-16,PL05,Rovaniemi Plant,Hydro,386
2020-01-17,PL01,Vaasa Plant,Wind,93
2020-01-17,PL02,Espoo Plant,Solar,34
2020-01-17,PL03,Oulu Plant,Biomass,299
2020-01-17,PL04,Tampere Plant,Nuclear,1118
2020-01-17,PL05,Rovaniemi Plant,Hydro,381
2020-01-18,PL01,Vaasa Plant,Wind,118
2020-01-18,PL02,Espoo Plant,Solar,62
2020-01-18,PL03,Oulu Plant,Biomass,301
2020-01-18,PL04,Tampere Plant,Nuclear,1094
2020-01-18,PL05,Rovaniemi Plant,Hydro,398
2020-01-19,PL01,Vaasa Plant,Wind,101
2020-01-19,PL02,Espoo Plant,Solar,32
2020-01-19,PL03,Oulu Plant,Biomass,311
2020-01-19,PL04,Tampere Plant,Nuclear,1091
2020-01-19,PL05,Rovaniemi Plant,Hydro,387
2020-01-20,PL01,Vaasa Plant,Wind,93
2020-01-20,PL02,Espoo Plant,Solar,30
2020-01-20,PL03,Oulu Plant,Biomass,316
2020-01-20,PL04,Tampere Plant,Nuclear,1114
2020-01-20,PL05,Rovaniemi Plant,Hydro,402
2020-01-21,PL01,Vaasa Plant,Wind,92
2020-01-21,PL02,Espoo Plant,Solar,46
2020-01-21,PL03,Oulu Plant,Biomass,293
2020-01-21,PL04,Tampere Plant,Nuclear,1101
2020-01-21,PL05,Rovaniemi Plant,Hydro,389
2020-01-22,PL01,Vaasa Plant,Wind,101
2020-01-22,PL02,Espoo Plant,Solar,38
2020-01-22,PL03,Oulu Plant,Biomass,296
2020-01-22,PL04,Tampere Plant,Nuclear,1101
2020-01-22,PL05,Rovaniemi Plant,Hydro,415
2020-01-23,PL01,Vaasa Plant,Wind,84
2020-01-23,PL02,Espoo Plant,Solar,49
2020-01-23,PL03,Oulu Plant,Biomass,312
2020-01-23,PL04,Tampere Plant,Nuclear,1085
2020-01-23,PL05,Rovaniemi Plant,Hydro,411
2020-01-24,PL01,Vaasa Plant,Wind,82
2020-01-24,PL02,Espoo Plant,Solar,69
2020-01-24,PL03,Oulu Plant,Biomass,319
2020-01-24,PL04,Tampere Plant,Nuclear,1119
2020-01-24,PL05,Rovaniemi Plant,Hydro,401
2020-01-25,PL01,Vaasa Plant,Wind,107
2020-01-25,PL02,Espoo Plant,Solar,59
2020-01-25,PL03,Oulu Plant,Biomass,308
2020-01-25,PL04,Tampere Plant,Nuclear,1084
2020-01-25,PL05,Rovaniemi Plant,Hydro,413
2020-01-26,PL01,Vaasa Plant,Wind,99
2020-01-26,PL02,Espoo Plant,Solar,68
2020-01-26,PL03,Oulu Plant,Biomass,305
2020-01-26,PL04,Tampere Plant,Nuclear,1108
2020-01-26,PL05,Rovaniemi Plant,Hydro,396
2020-01-27,PL01,Vaasa Plant,Wind,95
2020-01-27,PL02,Espoo Plant,Solar,68
2020-01-27,PL03,Oulu Plant,Biomass,303
2020-01-27,PL04,Tampere Plant,Nuclear,1118
2020-01-27,PL05,Rovaniemi Plant,Hydro,389
2020-01-28,PL01,Vaasa Plant,Wind,80
2020-01-28,PL02,Espoo Plant,Solar,43
2020-01-28,PL03,Oulu Plant,Biomass,310
2020-01-28,PL04,Tampere Plant,Nuclear,1113
2020-01-28,PL05,Rovaniemi Plant,Hydro,414
2020-01-29,PL01,Vaasa Plant,Wind,86
2020-01-29,PL02,Espoo Plant,Solar,50
2020-01-29,PL03,Oulu Plant,Biomass,281
2020-01-29,PL04,Tampere Plant,Nuclear,1106
2020-01-29,PL05,Rovaniemi Plant,Hydro,381
2020-01-30,PL01,Vaasa Plant,Wind,81
2020-01-30,PL02,Espoo Plant,Solar,52
2020-01-30,PL03,Oulu Plant,Biomass,319
2020-01-30,PL04,Tampere Plant,Nuclear,1084
2020-01-30,PL05,Rovaniemi Plant,Hydro,418
2020-01-31,PL01,Vaasa Plant,Wind,119
2020-01-31,PL02,Espoo Plant,Solar,30
2020-01-31,PL03,Oulu Plant,Biomass,281
2020-01-31,PL04,Tampere Plant,Nuclear,1116
2020-01-31,PL05,Rovaniemi Plant,Hydro,418
2020-02-01,PL01,Vaasa Plant,Wind,101
2020-02-01,PL02,Espoo Plant,Solar,61
2020-02-01,PL03,Oulu Plant,Biomass,309
2020-02-01,PL04,Tampere Plant,Nuclear,1111
2020-02-01,PL05,Rovaniemi Plant,Hydro,387
2020-02-02,PL01,Vaasa Plant,Wind,114
2020-02-02,PL02,Espoo Plant,Solar,30
2020-02-02,PL03,Oulu Plant,Biomass,315
2020-02-02,PL04,Tampere Plant,Nuclear,1080
2020-02-02,PL05,Rovaniemi Plant,Hydro,414
2020-02-03,PL01,Vaasa Plant,Wind,90
2020-02-03,PL02,Espoo Plant,Solar,36
2020-02-03,PL03,Oulu Plant,Biomass,280
2020-02-03,PL04,Tampere Plant,Nuclear,1114
2020-02-03,PL05,Rovaniemi Plant,Hydro,383
2020-02-04,PL01,Vaasa Plant,Wind,103
2020-02-04,PL02,Espoo Plant,Solar,49
2020-02-04,PL03,Oulu Plant,Biomass,312
2020-02-04,PL04,Tampere Plant,Nuclear,1088
2020-02-04,PL05,Rovaniemi Plant,Hydro,402
2020-02-05,PL01,Vaasa Plant,Wind,101
2020-02-05,PL02,Espoo Plant,Solar,67
2020-02-05,PL03,Oulu Plant,Biomass,301
2020-02-05,PL04,Tampere Plant,Nuclear,1118
2020-02-05,PL05,Rovaniemi Plant,Hydro,406
2020-02-06,PL01,Vaasa Plant,Wind,117
2020-02-06,PL02,Espoo Plant,Solar,54
2020-02-06,PL03,Oulu Plant,Biomass,313
2020-02-06,PL04,Tampere Plant,Nuclear,1086
2020-02-06,PL05,Rovaniemi Plant,Hydro,393
2020-02-07,PL01,Vaasa Plant,Wind,91
2020-02-07,PL02,Espoo Plant,Solar,48
2020-02-07,PL03,Oulu Plant,Biomass,298
2020-02-07,PL04,Tampere Plant,Nuclear,1087
2020-02-07,PL05,Rovaniemi Plant,Hydro,418
2020-02-08,PL01,Vaasa Plant,Wind,83
2020-02-08,PL02,Espoo Plant,Solar,61
2020-02-08,PL03,Oulu Plant,Biomass,289
2020-02-08,PL04,Tampere Plant,Nuclear,1082
2020-02-08,PL05,Rovaniemi Plant,Hydro,388
2020-02-09,PL01,Vaasa Plant,Wind,100
2020-02-09,PL02,Espoo Plant,Solar,47
2020-02-09,PL03,Oulu Plant,Biomass,306
2020-02-09,PL04,Tampere Plant,Nuclear,1108
2020-02-09,PL05,Rovaniemi Plant,Hydro,384
2020-02-10,PL01,Vaasa Plant,Wind,82
2020-02-10,PL02,Espoo Plant,Solar,57
2020-02-10,PL03,Oulu Plant,Biomass,303
2020-02-10,PL04,Tampere Plant,Nuclear,1083
2020-02-10,PL05,Rovaniemi Plant,Hydro,383
2020-02-11,PL01,Vaasa Plant,Wind,98
2020-02-11,PL02,Espoo Plant,Solar,40
2020-02-11,PL03,Oulu Plant,Biomass,312
2020-02-11,PL04,Tampere Plant,Nuclear,1112
2020-02-11,PL05,Rovaniemi Plant,Hydro,401
2020-02-12,PL01,Vaasa Plant,Wind,117
2020-02-12,PL02,Espoo Plant,Solar,67
2020-02-12,PL03,Oulu Plant,Biomass,302
2020-02-12,PL04,Tampere Plant,Nuclear,1098
2020-02-12,PL05,Rovaniemi Plant,Hydro,389
2020-02-13,PL01,Vaasa Plant,Wind,113
2020-02-13,PL02,Espoo Plant,Solar,38
2020-02-13,PL03,Oulu Plant,Biomass,294
2020-02-13,PL04,Tampere Plant,Nuclear,1098
2020-02-13,PL05,Rovaniemi Plant,Hydro,398
2020-02-14,PL01,Vaasa Plant,Wind,116
2020-02-14,PL02,Espoo Plant,Solar,31
2020-02-14,PL03,Oulu Plant,Biomass,296
2020-02-14,PL04,Tampere Plant,Nuclear,1091
2020-02-14,PL05,Rovaniemi Plant,Hydro,400
2020-02-15,PL01,Vaasa Plant,Wind,119
2020-02-15,PL02,Espoo Plant,Solar,33
2020-02-15,PL03,Oulu Plant,Biomass,301
2020-02-15,PL04,Tampere Plant,Nuclear,1106
2020-02-15,PL05,Rovaniemi Plant,Hydro,413
2020-02-16,PL01,Vaasa Plant,Wind,91
2020-02-16,PL02,Espoo Plant,Solar,49
2020-02-16,PL03,Oulu Plant,Biomass,312
2020-02-16,PL04,Tampere Plant,Nuclear,1100
2020-02-16,PL05,Rovaniemi Plant,Hydro,410
2020-02-17,PL01,Vaasa Plant,Wind,89
2020-02-17,PL02,Espoo Plant,Solar,42
2020-02-17,PL03,Oulu Plant,Biomass,311
2020-02-17,PL04,Tampere Plant,Nuclear,1098
2020-02-17,PL05,Rovaniemi Plant,Hydro,414
2020-02-18,PL01,Vaasa Plant,Wind,81
2020-02-18,PL02,Espoo Plant,Solar,65
2020-02-18,PL03,Oulu Plant,Biomass,318
2020-02-18,PL04,Tampere Plant,Nuclear,1080
2020-02-18,PL05,Rovaniemi Plant,Hydro,408
2020-02-19,PL01,Vaasa Plant,Wind,108
2020-02-19,PL02,Espoo Plant,Solar,48
2020-02-19,PL03,Oulu Plant,Biomass,285
2020-02-19,PL04,Tampere Plant,Nuclear,1117
2020-02-19,PL05,Rovaniemi Plant,Hydro,383
2020-02-20,PL01,Vaasa Plant,Wind,101
2020-02-20,PL02,Espoo Plant,Solar,38
2020-02-20,PL03,Oulu Plant,Biomass,300
2020-02-20,PL04,Tampere Plant,Nuclear,1110
2020-02-20,PL05,Rovaniemi Plant,Hydro,381
2020-02-21,PL01,Vaasa Plant,Wind,85
2020-02-21,PL02,Espoo Plant,Solar,48
2020-02-21,PL03,Oulu Plant,Biomass,301
2020-02-21,PL04,Tampere Plant,Nuclear,1099
2020-02-21,PL05,Rovaniemi Plant,Hydro,416
2020-02-22,PL01,Vaasa Plant,Wind,113
2020-02-22,PL02,Espoo Plant,Solar,32
2020-02-22,PL03,Oulu Plant,Biomass,281
2020-02-22,PL04,Tampere Plant,Nuclear,1118
2020-02-22,PL05,Rovaniemi Plant,Hydro,397
2020-02-23,PL01,Vaasa Plant,Wind,102
2020-02-23,PL02,Espoo Plant,Solar,51
2020-02-23,PL03,Oulu Plant,Biomass,297
2020-02-23,PL04,Tampere Plant,Nuclear,1087
2020-02-23,PL05,Rovaniemi Plant,Hydro,393
2020-02-24,PL01,Vaasa Plant,Wind,105
2020-02-24,PL02,Espoo Plant,Solar,69
2020-02-24,PL03,Oulu Plant,Biomass,299
2020-02-24,PL04,Tampere Plant,Nuclear,1111
2020-02-24,PL05,Rovaniemi Plant,Hydro,402
2020-02-25,PL01,Vaasa Plant,Wind,113
2020-02-25,PL02,Espoo Plant,Solar,32
2020-02-25,PL03,Oulu Plant,Biomass,305
2020-02-25,PL04,Tampere Plant,Nuclear,1111
2020-02-25,PL05,Rovaniemi Plant,Hydro,415
2020-02-26,PL01,Vaasa Plant,Wind,103
2020-02-26,PL02,Espoo Plant,Solar,45
2020-02-26,PL03,Oulu Plant,Biomass,300
2020-02-26,PL04,Tampere Plant,Nuclear,1090
2020-02-26,PL05,Rovaniemi Plant,Hydro,412
2020-02-27,PL01,Vaasa Plant,Wind,110
2020-02-27,PL02,Espoo Plant,Solar,30
2020-02-27,PL03,Oulu Plant,Biomass,293
2020-02-27,PL04,Tampere Plant,Nuclear,1105
2020-02-27,PL05,Rovaniemi Plant,Hydro,411
2020-02-28,PL01,Vaasa Plant,Wind,93
2020-02-28,PL02,Espoo Plant,Solar,37
2020-02-28,PL03,Oulu Plant,Biomass,312
2020-02-28,PL04,Tampere Plant,Nuclear,1107
2020-02-28,PL05,Rovaniemi Plant,Hydro,383
2020-02-29,PL01,Vaasa Plant,Wind,99
2020-02-29,PL02,Espoo Plant,Solar,44
2020-02-29,PL03,Oulu Plant,Biomass,304
2020-02-29,PL04,Tampere Plant,Nuclear,1082
2020-02-29,PL05,Rovaniemi Plant,Hydro,414
2020-03-01,PL01,Vaasa Plant,Wind,84
2020-03-01,PL02,Espoo Plant,Solar,54
2020-03-01,PL03,Oulu Plant,Biomass,313
2020-03-01,PL04,Tampere Plant,Nuclear,1082
2020-03-01,PL05,Rovaniemi Plant,Hydro,383
2020-03-02,PL01,Vaasa Plant,Wind,107
2020-03-02,PL02,Espoo Plant,Solar,68
2020-03-02,PL03,Oulu Plant,Biomass,303
2020-03-02,PL04,Tampere Plant,Nuclear,1091
2020-03-02,PL05,Rovaniemi Plant,Hydro,399
2020-03-03,PL01,Vaasa Plant,Wind,119
2020-03-03,PL02,Espoo Plant,Solar,35
2020-03-03,PL03,Oulu Plant,Biomass,301
2020-03-03,PL04,Tampere Plant,Nuclear,1086
2020-03-03,PL05,Rovaniemi Plant,Hydro,390
2020-03-04,PL01,Vaasa Plant,Wind,80
2020-03-04,PL02,Espoo Plant,Solar,37
2020-03-04,PL03,Oulu Plant,Biomass,307
2020-03-04,PL04,Tampere Plant,Nuclear,1087
2020-03-04,PL05,Rovaniemi Plant,Hydro,410
2020-03-05,PL01,Vaasa Plant,Wind,102
2020-03-05,PL02,Espoo Plant,Solar,58
2020-03-05,PL03,Oulu Plant,Biomass,294
2020-03-05,PL04,Tampere Plant,Nuclear,1082
2020-03-05,PL05,Rovaniemi Plant,Hydro,380
2020-03-06,PL01,Vaasa Plant,Wind,104
2020-03-06,PL02,Espoo Plant,Solar,54
2020-03-06,PL03,Oulu Plant,Biomass,293
2020-03-06,PL04,Tampere Plant,Nuclear,1101
2020-03-06,PL05,Rovaniemi Plant,Hydro,391
2020-03-07,PL01,Vaasa Plant,Wind,107
2020-03-07,PL02,Espoo Plant,Solar,48
2020-03-07,PL03,Oulu Plant,Biomass,306
2020-03-07,PL04,Tampere Plant,Nuclear,1101
2020-03-07,PL05,Rovaniemi Plant,Hydro,391
2020-03-08,PL01,Vaasa Plant,Wind,93
2020-03-08,PL02,Espoo Plant,Solar,50
2020-03-08,PL03,Oulu Plant,Biomass,305
2020-03-08,PL04,Tampere Plant,Nuclear,1102
2020-03-08,PL05,Rovaniemi Plant,Hydro,407
2020-03-09,PL01,Vaasa Plant,Wind,92
2020-03-09,PL02,Espoo Plant,Solar,68
2020-03-09,PL03,Oulu Plant,Biomass,293
2020-03-09,PL04,Tampere Plant,Nuclear,1093
2020-03-09,PL05,Rovaniemi Plant,Hydro,388
2020-03-10,PL01,Vaasa Plant,Wind,93
2020-03-10,PL02,Espoo Plant,Solar,53
2020-03-10,PL03,Oulu Plant,Biomass,284
2020-03-10,PL04,Tampere Plant,Nuclear,1082
2020-03-10,PL05,Rovaniemi Plant,Hydro,403
2020-03-11,PL01,Vaasa Plant,Wind,101
2020-03-11,PL02,Espoo Plant,Solar,68
2020-03-11,PL03,Oulu Plant,Biomass,315
2020-03-11,PL04,Tampere Plant,Nuclear,1110
2020-03-11,PL05,Rovaniemi Plant,Hydro,413
2020-03-12,PL01,Vaasa Plant,Wind,101
2020-03-12,PL02,Espoo Plant,Solar,30
2020-03-12,PL03,Oulu Plant,Biomass,309
2020-03-12,PL04,Tampere Plant,Nuclear,1111
2020-03-12,PL05,Rovaniemi Plant,Hydro,406
2020-03-13,PL01,Vaasa Plant,Wind,119
2020-03-13,PL02,Espoo Plant,Solar,32
2020-03-13,PL03,Oulu Plant,Biomass,311
2020-03-13,PL04,Tampere Plant,Nuclear,1082
2020-03-13,PL05,Rovaniemi Plant,Hydro,398
2020-03-14,PL01,Vaasa Plant,Wind,106
2020-03-14,PL02,Espoo Plant,Solar,55
2020-03-14,PL03,Oulu Plant,Biomass,298
2020-03-14,PL04,Tampere Plant,Nuclear,1085
2020-03-14,PL05,Rovaniemi Plant,Hydro,394
2020-03-15,PL01,Vaasa Plant,Wind,117
2020-03-15,PL02,Espoo Plant,Solar,35
2020-03-15,PL03,Oulu Plant,Biomass,290
2020-03-15,PL04,Tampere Plant,Nuclear,1116
2020-03-15,PL05,Rovaniemi Plant,Hydro,387
2020-03-16,PL01,Vaasa Plant,Wind,80
2020-03-16,PL02,Espoo Plant,Solar,52
2020-03-16,PL03,Oulu Plant,Biomass,314
2020-03-16,PL04,Tampere Plant,Nuclear,1101
2020-03-16,PL05,Rovaniemi Plant,Hydro,409
2020-03-17,PL01,Vaasa Plant,Wind,111
2020-03-17,PL02,Espoo Plant,Solar,55
2020-03-17,PL03,Oulu Plant,Biomass,285
2020-03-17,PL04,Tampere Plant,Nuclear,1112
2020-03-17,PL05,Rovaniemi Plant,Hydro,417
2020-03-18,PL01,Vaasa Plant,Wind,87
2020-03-18,PL02,Espoo Plant,Solar,64
2020-03-18,PL03,Oulu Plant,Biomass,289
2020-03-18,PL04,Tampere Plant,Nuclear,1103
2020-03-18,PL05,Rovaniemi Plant,Hydro,402
2020-03-19,PL01,Vaasa Plant,Wind,83
2020-03-19,PL02,Espoo Plant,Solar,68
2020-03-19,PL03,Oulu Plant,Biomass,283
2020-03-19,PL04,Tampere Plant,Nuclear,1092
2020-03-19,PL05,Rovaniemi Plant,Hydro,414
2020-03-20,PL01,Vaasa Plant,Wind,118
2020-03-20,PL02,Espoo Plant,Solar,60
2020-03-20,PL03,Oulu Plant,Biomass,306
2020-03-20,PL04,Tampere Plant,Nuclear,1094
2020-03-20,PL05,Rovaniemi Plant,Hydro,398
2020-03-21,PL01,Vaasa Plant,Wind,116
2020-03-21,PL02,Espoo Plant,Solar,63
2020-03-21,PL03,Oulu Plant,Biomass,319
2020-03-21,PL04,Tampere Plant,Nuclear,1109
2020-03-21,PL05,Rovaniemi Plant,Hydro,411
2020-03-22,PL01,Vaasa Plant,Wind,115
2020-03-22,PL02,Espoo Plant,Solar,39
2020-03-22,PL03,Oulu Plant,Biomass,305
2020-03-22,PL04,Tampere Plant,Nuclear,1101
2020-03-22,PL05,Rovaniemi Plant,Hydro,412
2020-03-23,PL01,Vaasa Plant,Wind,96
2020-03-23,PL02,Espoo Plant,Solar,55
2020-03-23,PL03,Oulu Plant,Biomass,289
2020-03-23,PL04,Tampere Plant,Nuclear,1082
2020-03-23,PL05,Rovaniemi Plant,Hydro,412
2020-03-24,PL01,Vaasa Plant,Wind,80
2020-03-24,PL02,Espoo Plant,Solar,43
2020-03-24,PL03,Oulu Plant,Biomass,316
2020-03-24,PL04,Tampere Plant,Nuclear,1098
2020-03-24,PL05,Rovaniemi Plant,Hydro,419
2020-03-25,PL01,Vaasa Plant,Wind,91
2020-03-25,PL02,Espoo Plant,Solar,66
2020-03-25,PL03,Oulu Plant,Biomass,291
2020-03-25,PL04,Tampere Plant,Nuclear,1096
2020-03-25,PL05,Rovaniemi Plant,Hydro,403
2020-03-26,PL01,Vaasa Plant,Wind,117
2020-03-26,PL02,Espoo Plant,Solar,42
2020-03-26,PL03,Oulu Plant,Biomass,298
2020-03-26,PL04,Tampere Plant,Nuclear,1116
2020-03-26,PL05,Rovaniemi Plant,Hydro,400
2020-03-27,PL01,Vaasa Plant,Wind,81
2020-03-27,PL02,Espoo Plant,Solar,63
2020-03-27,PL03,Oulu Plant,Biomass,284
2020-03-27,PL04,Tampere Plant,Nuclear,1117
2020-03-27,PL05,Rovaniemi Plant,Hydro,412
2020-03-28,PL01,Vaasa Plant,Wind,113
2020-03-28,PL02,Espoo Plant,Solar,52
2020-03-28,PL03,Oulu Plant,Biomass,310
2020-03-28,PL04,Tampere Plant,Nuclear,1084
2020-03-28,PL05,Rovaniemi Plant,Hydro,416
2020-03-29,PL01,Vaasa Plant,Wind,114
2020-03-29,PL02,Espoo Plant,Solar,38
2020-03-29,PL03,Oulu Plant,Biomass,286
2020-03-29,PL04,Tampere Plant,Nuclear,1115
2020-03-29,PL05,Rovaniemi Plant,Hydro,392
2020-03-30,PL01,Vaasa Plant,Wind,80
2020-03-30,PL02,Espoo Plant,Solar,67
2020-03-30,PL03,Oulu Plant,Biomass,310
2020-03-30,PL04,Tampere Plant,Nuclear,1080
2020-03-30,PL05,Rovaniemi Plant,Hydro,403
2020-03-31,PL01,Vaasa Plant,Wind,88
2020-03-31,PL02,Espoo Plant,Solar,40
2020-03-31,PL03,Oulu Plant,Biomass,300
2020-03-31,PL04,Tampere Plant,Nuclear,1119
2020-03-31,PL05,Rovaniemi Plant,Hydro,417
2020-04-01,PL01,Vaasa Plant,Wind,100
2020-04-01,PL02,Espoo Plant,Solar,52
2020-04-01,PL03,Oulu Plant,Biomass,285
2020-04-01,PL04,Tampere Plant,Nuclear,1086
2020-04-01,PL05,Rovaniemi Plant,Hydro,381
2020-04-02,PL01,Vaasa Plant,Wind,106
2020-04-02,PL02,Espoo Plant,Solar,52
2020-04-02,PL03,Oulu Plant,Biomass,308
2020-04-02,PL04,Tampere Plant,Nuclear,1081
2020-04-02,PL05,Rovaniemi Plant,Hydro,418
2020-04-03,PL01,Vaasa Plant,Wind,107
2020-04-03,PL02,Espoo Plant,Solar,53
2020-04-03,PL03,Oulu Plant,Biomass,280
2020-04-03,PL04,Tampere Plant,Nuclear,1092
2020-04-03,PL05,Rovaniemi Plant,Hydro,391
2020-04-04,PL01,Vaasa Plant,Wind,119
2020-04-04,PL02,Espoo Plant,Solar,35
2020-04-04,PL03,Oulu Plant,Biomass,296
2020-04-04,PL04,Tampere Plant,Nuclear,1113
2020-04-04,PL05,Rovaniemi Plant,Hydro,382
2020-04-05,PL01,Vaasa Plant,Wind,104
2020-04-05,PL02,Espoo Plant,Solar,32
2020-04-05,PL03,Oulu Plant,Biomass,313
2020-04-05,PL04,Tampere Plant,Nuclear,1114
2020-04-05,PL05,Rovaniemi Plant,Hydro,412
2020-04-06,PL01,Vaasa Plant,Wind,106
2020-04-06,PL02,Espoo Plant,Solar,66
2020-04-06,PL03,Oulu Plant,Biomass,306
2020-04-06,PL04,Tampere Plant,Nuclear,1104
2020-04-06,PL05,Rovaniemi Plant,Hydro,406
2020-04-07,PL01,Vaasa Plant,Wind,105
2020-04-07,PL02,Espoo Plant,Solar,36
2020-04-07,PL03,Oulu Plant,Biomass,319
2020-04-07,PL04,Tampere Plant,Nuclear,1110
2020-04-07,PL05,Rovaniemi Plant,Hydro,401
2020-04-08,PL01,Vaasa Plant,Wind,87
2020-04-08,PL02,Espoo Plant,Solar,56
2020-04-08,PL03,Oulu Plant,Biomass,299
2020-04-08,PL04,Tampere Plant,Nuclear,1108
2020-04-08,PL05,Rovaniemi Plant,Hydro,398
2020-04-09,PL01,Vaasa Plant,Wind,111
2020-04-09,PL02,Espoo Plant,Solar,44
2020-04-09,PL03,Oulu Plant,Biomass,316
2020-04-09,PL04,Tampere Plant,Nuclear,1105
2020-04-09,PL05,Rovaniemi Plant,Hydro,395
2020-04-10,PL01,Vaasa Plant,Wind,114
2020-04-10,PL02,Espoo Plant,Solar,30
2020-04-10,PL03,Oulu Plant,Biomass,307
2020-04-10,PL04,Tampere Plant,Nuclear,1090
2020-04-10,PL05,Rovaniemi Plant,Hydro,409
2020-04-11,PL01,Vaasa Plant,Wind,84
2020-04-11,PL02,Espoo Plant,Solar,40
2020-04-11,PL03,Oulu Plant,Biomass,294
2020-04-11,PL04,Tampere Plant,Nuclear,1080
2020-04-11,PL05,Rovaniemi Plant,Hydro,403
2020-04-12,PL01,Vaasa Plant,Wind,95
2020-04-12,PL02,Espoo Plant,Solar,65
2020-04-12,PL03,Oulu Plant,Biomass,316
2020-04-12,PL04,Tampere Plant,Nuclear,1094
2020-04-12,PL05,Rovaniemi Plant,Hydro,384
2020-04-13,PL01,Vaasa Plant,Wind,117
2020-04-13,PL02,Espoo Plant,Solar,68
2020-04-13,PL03,Oulu Plant,Biomass,315
2020-04-13,PL04,Tampere Plant,Nuclear,1113
2020-04-13,PL05,Rovaniemi Plant,Hydro,392
