date,plant_id,heating_produced_mwh,heating_consumed_mwh
2020-01-25,PL05,354,350
2020-01-26,PL01,373,372
2020-01-26,PL02,459,444
2020-01-26,PL03,436,420
2020-01-26,PL04,650,634
2020-01-26,PL05,189,171
2020-01-27,PL01,665,647
2020-01-27,PL02,470,464
2020-01-27,PL03,189,176
2020-01-27,PL04,258,253
2020-01-27,PL05,128,125
2020-01-28,PL01,336,332
2020-01-28,PL02,173,167
2020-01-28,PL03,527,522
2020-01-28,PL04,154,149
2020-01-28,PL05,605,589
2020-01-29,PL01,117,99
2020-01-29,PL02,378,369
2020-01-29,PL03,311,305
2020-01-29,PL04,167,157
2020-01-29,PL05,456,443
2020-01-30,PL01,131,118
2020-01-30,PL02,104,89
2020-01-30,PL03,483,469
2020-01-30,PL04,504,487
2020-01-30,PL05,386,379
2020-01-31,PL01,552,541
2020-01-31,PL02,282,271
2020-01-31,PL03,402,399
2020-01-31,PL04,442,441
2020-01-31,PL05,531,514
2020-02-01,PL01,289,289
2020-02-01,PL02,195,187
2020-02-01,PL03,386,375
2020-02-01,PL04,440,425
2020-02-01,PL05,267,265
2020-02-02,PL01,485,476
2020-02-02,PL02,311,302
2020-02-02,PL03,644,631
2020-02-02,PL04,136,117
2020-02-02,PL05,224,205
2020-02-03,PL01,506,494
2020-02-03,PL02,317,305
2020-02-03,PL03,455,453
2020-02-03,PL04,55,46
2020-02-03,PL05,600,581
2020-02-04,PL01,67,49
2020-02-04,PL02,422,403
2020-02-04,PL03,607,598
2020-02-04,PL04,62,58
2020-02-04,PL05,472,455
2020-02-05,PL01,582,573
2020-02-05,PL02,434,415
2020-02-05,PL03,260,252
2020-02-05,PL04,365,349
2020-02-05,PL05,178,170
2020-02-06,PL01,194,187
2020-02-06,PL02,640,631
2020-02-06,PL03,628,619
2020-02-06,PL04,104,92
2020-02-06,PL05,645,636
2020-02-07,PL01,507,504
2020-02-07,PL02,325,307
2020-02-07,PL03,517,506
2020-02-07,PL04,620,610
2020-02-07,PL05,697,693
2020-02-08,PL01,158,139
2020-02-08,PL02,678,678
2020-02-08,PL03,81,77
2020-02-08,PL04,295,286
2020-02-08,PL05,202,185
2020-02-09,PL01,244,238
2020-02-09,PL02,259,249
2020-02-09,PL03,169,158
2020-02-09,PL04,320,314
2020-02-09,PL05,609,601
2020-02-10,PL01,450,435
2020-02-10,PL02,648,631
2020-02-10,PL03,642,638
2020-02-10,PL04,276,257
2020-02-10,PL05,623,605
2020-02-11,PL01,493,483
2020-02-11,PL02,655,645
2020-02-11,PL03,251,238
2020-02-11,PL04,290,286
2020-02-11,PL05,214,211
2020-02-12,PL01,129,125
2020-02-12,PL02,192,190
2020-02-12,PL03,124,113
2020-02-12,PL04,516,513
2020-02-12,PL05,317,306
2020-02-13,PL01,313,308
2020-02-13,PL02,642,634
2020-02-13,PL03,494,487
2020-02-13,PL04,351,339
2020-02-13,PL05,271,264
2020-02-14,PL01,511,500
2020-02-14,PL02,592,585
2020-02-14,PL03,536,533
2020-02-14,PL04,194,190
2020-02-14,PL05,677,676
2020-02-15,PL01,421,408
2020-02-15,PL02,241,238
2020-02-15,PL03,515,498
2020-02-15,PL04,515,508
2020-02-15,PL05,193,179
2020-02-16,PL01,414,411
2020-02-16,PL02,606,591
2020-02-16,PL03,415,411
2020-02-16,PL04,270,268
2020-02-16,PL05,669,667
2020-02-17,PL01,444,433
2020-02-17,PL02,595,590
2020-02-17,PL03,76,63
2020-02-17,PL04,155,142
2020-02-17,PL05,432,419
2020-02-18,PL01,611,596
2020-02-18,PL02,274,263
2020-02-18,PL03,417,416
2020-02-18,PL04,234,225
2020-02-18,PL05,225,225
2020-02-19,PL01,283,276
2020-02-19,PL02,586,584
2020-02-19,PL03,118,104
2020-02-19,PL04,126,124
2020-02-19,PL05,637,627
2020-02-20,PL01,359,340
2020-02-20,PL02,509,500
2020-02-20,PL03,110,96
2020-02-20,PL04,574,574
2020-02-20,PL05,556,538
2020-02-21,PL01,674,666
2020-02-21,PL02,206,191
2020-02-21,PL03,157,148
2020-02-21,PL04,680,673
2020-02-21,PL05,367,354
2020-02-22,PL01,565,561
2020-02-22,PL02,455,442
2020-02-22,PL03,134,119
2020-02-22,PL04,418,416
2020-02-22,PL05,214,206
2020-02-23,PL01,465,463
2020-02-23,PL02,336,335
2020-02-23,PL03,555,552
2020-02-23,PL04,106,87
2020-02-23,PL05,65,65
2020-02-24,PL01,126,118
2020-02-24,PL02,154,146
2020-02-24,PL03,289,277
2020-02-24,PL04,519,510
2020-02-24,PL05,223,218
2020-02-25,PL01,350,334
2020-02-25,PL02,655,654
2020-02-25,PL03,212,209
2020-02-25,PL04,436,419
2020-02-25,PL05,157,144
2020-02-26,PL01,445,438
2020-02-26,PL02,191,180
2020-02-26,PL03,609,604
2020-02-26,PL04,344,335
2020-02-26,PL05,691,685
2020-02-27,PL01,121,114
2020-02-27,PL02,251,246
2020-02-27,PL03,429,421
2020-02-27,PL04,480,462
2020-02-27,PL05,125,115
2020-02-28,PL01,460,456
2020-02-28,PL02,138,124
2020-02-28,PL03,135,133
2020-02-28,PL04,383,376
2020-02-28,PL05,450,449
2020-02-29,PL01,606,588
2020-02-29,PL02,538,533
2020-02-29,PL03,248,235
2020-02-29,PL04,230,220
2020-02-29,PL05,167,167
2020-03-01,PL01,414,413
2020-03-01,PL02,388,369
2020-03-01,PL03,397,382
2020-03-01,PL04,513,509
2020-03-01,PL05,92,89
2020-03-02,PL01,634,620
2020-03-02,PL02,350,347
2020-03-02,PL03,631,627
2020-03-02,PL04,618,608
2020-03-02,PL05,166,163
2020-03-03,PL01,327,324
2020-03-03,PL02,666,650
2020-03-03,PL03,263,262
2020-03-03,PL04,127,121
2020-03-03,PL05,418,413
2020-03-04,PL01,644,641
2020-03-04,PL02,274,260
2020-03-04,PL03,463,449
2020-03-04,PL04,635,631
2020-03-04,PL05,330,314
2020-03-05,PL01,518,506
2020-03-05,PL02,269,257
2020-03-05,PL03,440,433
2020-03-05,PL04,83,65
2020-03-05,PL05,86,79
2020-03-06,PL01,305,304
2020-03-06,PL02,524,513
2020-03-06,PL03,195,185
2020-03-06,PL04,675,672
2020-03-06,PL05,377,367
2020-03-07,PL01,132,117
2020-03-07,PL02,598,594
2020-03-07,PL03,521,506
2020-03-07,PL04,270,251
2020-03-07,PL05,126,116
2020-03-08,PL01,376,373
2020-03-08,PL02,659,647
2020-03-08,PL03,266,255
2020-03-08,PL04,209,196
2020-03-08,PL05,657,638
2020-03-09,PL01,570,552
2020-03-09,PL02,565,555
2020-03-09,PL03,472,457
2020-03-09,PL04,509,505
2020-03-09,PL05,338,331
2020-03-10,PL01,696,683
2020-03-10,PL02,261,258
2020-03-10,PL03,442,424
2020-03-10,PL04,347,330
2020-03-10,PL05,685,677
2020-03-11,PL01,673,671
2020-03-11,PL02,228,228
2020-03-11,PL03,586,577
2020-03-11,PL04,339,328
2020-03-11,PL05,604,589
2020-03-12,PL01,622,614
2020-03-12,PL02,507,498
2020-03-12,PL03,567,550
2020-03-12,PL04,386,376
2020-03-12,PL05,537,522
2020-03-13,PL01,387,385
2020-03-13,PL02,538,535
2020-03-13,PL03,225,223
2020-03-13,PL04,108,103
2020-03-13,PL05,346,329
2020-03-14,PL01,84,71
2020-03-14,PL02,541,536
2020-03-14,PL03,175,162
2020-03-14,PL04,679,663
2020-03-14,PL05,53,34
2020-03-15,PL01,653,652
2020-03-15,PL02,391,384
2020-03-15,PL03,131,124
2020-03-15,PL04,256,247
2020-03-15,PL05,67,66
2020-03-16,PL01,323,322
2020-03-16,PL02,370,351
2020-03-16,PL03,538,520
2020-03-16,PL04,73,56
2020-03-16,PL05,294,286
2020-03-17,PL01,542,534
2020-03-17,PL02,616,613
2020-03-17,PL03,273,261
2020-03-17,PL04,450,442
2020-03-17,PL05,502,483
2020-03-18,PL01,670,662
2020-03-18,PL02,467,456
2020-03-18,PL03,79,67
2020-03-18,PL04,418,405
2020-03-18,PL05,233,217
2020-03-19,PL01,64,52
2020-03-19,PL02,297,286
2020-03-19,PL03,463,450
2020-03-19,PL04,377,366
2020-03-19,PL05,229,218
2020-03-20,PL01,205,190
2020-03-20,PL02,489,488
2020-03-20,PL03,453,443
2020-03-20,PL04,405,394
2020-03-20,PL05,113,94
2020-03-21,PL01,335,323
2020-03-21,PL02,448,436
2020-03-21,PL03,116,112
2020-03-21,PL04,215,200
2020-03-21,PL05,435,422
2020-03-22,PL01,252,238
2020-03-22,PL02,192,180
2020-03-22,PL03,403,400
2020-03-22,PL04,70,51
2020-03-22,PL05,577,567
2020-03-23,PL01,236,224
2020-03-23,PL02,344,327
2020-03-23,PL03,674,666
2020-03-23,PL04,673,654
2020-03-23,PL05,318,318
2020-03-24,PL01,240,236
2020-03-24,PL02,365,365
2020-03-24,PL03,346,329
2020-03-24,PL04,471,452
2020-03-24,PL05,530,521
2020-03-25,PL01,160,144
2020-03-25,PL02,378,360
2020-03-25,PL03,390,387
2020-03-25,PL04,597,596
2020-03-25,PL05,170,152
2020-03-26,PL01,254,237
2020-03-26,PL02,153,142
2020-03-26,PL03,278,268
2020-03-26,PL04,555,545
2020-03-26,PL05,600,587
2020-03-27,PL01,400,396
2020-03-27,PL02,538,533
2020-03-27,PL03,288,280
2020-03-27,PL04,264,258
2020-03-27,PL05,289,275
2020-03-28,PL01,552,540
2020-03-28,PL02,63,61
2020-03-28,PL03,462,456
2020-03-28,PL04,132,131
2020-03-28,PL05,479,465
2020-03-29,PL01,211,195
2020-03-29,PL02,231,217
2020-03-29,PL03,565,564
2020-03-29,PL04,529,521
2020-03-29,PL05,314,301
2020-03-30,PL01,383,369
2020-03-30,PL02,98,92
2020-03-30,PL03,505,497
2020-03-30,PL04,83,78
2020-03-30,PL05,351,334
2020-03-31,PL01,680,678
2020-03-31,PL02,401,391
2020-03-31,PL03,281,273
2020-03-31,PL04,153,153
2020-03-31,PL05,600,581
2020-04-01,PL01,681,662
2020-04-01,PL02,556,555
2020-04-01,PL03,267,251
2020-04-01,PL04,304,299
2020-04-01,PL05,680,674
2020-04-02,PL01,641,634
2020-04-02,PL02,370,359
2020-04-02,PL03,298,279
2020-04-02,PL04,399,394
2020-04-02,PL05,387,373
2020-04-03,PL01,650,641
2020-04-03,PL02,149,149
2020-04-03,PL03,202,195
2020-04-03,PL04,364,359
2020-04-03,PL05,561,558
2020-04-04,PL01,397,395
2020-04-04,PL02,153,142
2020-04-04,PL03,359,341
2020-04-04,PL04,376,364
2020-04-04,PL05,242,233
2020-04-05,PL01,333,323
2020-04-05,PL02,666,647
2020-04-05,PL03,242,233
2020-04-05,PL04,424,406
2020-04-05,PL05,552,538
2020-04-06,PL01,686,674
2020-04-06,PL02,69,51
2020-04-06,PL03,107,92
2020-04-06,PL04,381,366
2020-04-06,PL05,103,89
2020-04-07,PL01,397,387
2020-04-07,PL02,570,564
2020-04-07,PL03,322,310
2020-04-07,PL04,109,97
2020-04-07,PL05,140,135
2020-04-08,PL01,542,527
2020-04-08,PL02,94,87
2020-04-08,PL03,623,607
2020-04-08,PL04,466,450
2020-04-08,PL05,538,529
2020-04-09,PL01,557,538
2020-04-09,PL02,690,676
2020-04-09,PL03,348,335
2020-04-09,PL04,307,307
2020-04-09,PL05,550,547
2020-04-10,PL01,350,334
2020-04-10,PL02,528,523
2020-04-10,PL03,224,206
2020-04-10,PL04,188,185
2020-04-10,PL05,247,246
2020-04-11,PL01,219,217
2020-04-11,PL02,340,322
2020-04-11,PL03,275,269
2020-04-11,PL04,110,94
2020-04-11,PL05,311,302
2020-04-12,PL01,487,485
2020-04-12,PL02,209,197
2020-04-12,PL03,376,366
2020-04-12,PL04,163,146
2020-04-12,PL05,460,441
2020-04-13,PL01,431,418
2020-04-13,PL02,431,419
2020-04-13,PL03,376,360
2020-04-13,PL04,223,216
2020-04-13,PL05,618,614
2020-04-14,PL01,589,579
2020-04-14,PL02,580,574
2020-04-14,PL03,629,615
2020-04-14,PL04,590,577
2020-04-14,PL05,453,443
2020-04-15,PL01,550,543
2020-04-15,PL02,112,93
2020-04-15,PL03,291,272
2020-04-15,PL04,150,137
2020-04-15,PL05,495,481
2020-04-16,PL01,166,150
2020-04-16,PL02,598,580
2020-04-16,PL03,365,361
2020-04-16,PL04,210,198
2020-04-16,PL05,594,593
2020-04-17,PL01,533,518
2020-04-17,PL02,406,401
2020-04-17,PL03,620,610
2020-04-17,PL04,516,508
2020-04-17,PL05,615,613
2020-04-18,PL01,536,518
2020-04-18,PL02,494,482
2020-04-18,PL03,625,616
2020-04-18,PL04,103,96
2020-04-18,PL05,104,99
2020-04-19,PL01,219,215
2020-04-19,PL02,542,540
2020-04-19,PL03,385,374
2020-04-19,PL04,490,485
2020-04-19,PL05,228,220
2020-04-20,PL01,207,195
2020-04-20,PL02,608,602
2020-04-20,PL03,368,352
2020-04-20,PL04,608,590
2020-04-20,PL05,194,185
2020-04-21,PL01,139,123
2020-04-21,PL02,491,482
2020-04-21,PL03,73,54
2020-04-21,PL04,606,592
2020-04-21,PL05,273,271
2020-04-22,PL01,574,556
2020-04-22,PL02,679,677
2020-04-22,PL03,480,462
2020-04-22,PL04,177,161
2020-04-22,PL05,389,379
2020-04-23,PL01,667,665
2020-04-23,PL02,233,223
2020-04-23,PL03,122,119
2020-04-23,PL04,538,527
2020-04-23,PL05,590,583
2020-04-24,PL01,681,678
2020-04-24,PL02,209,193
2020-04-24,PL03,605,591
2020-04-24,PL04,318,307
2020-04-24,PL05,556,553
2020-04-25,PL01,386,382
2020-04-25,PL02,444,437
2020-04-25,PL03,352,335
2020-04-25,PL04,338,338
2020-04-25,PL05,562,560
2020-04-26,PL01,66,51
2020-04-26,PL02,358,357
2020-04-26,PL03,392,390
2020-04-26,PL04,204,201
2020-04-26,PL05,414,412
2020-04-27,PL01,252,252
2020-04-27,PL02,521,518
2020-04-27,PL03,670,665
2020-04-27,PL04,288,288
2020-04-27,PL05,430,411
2020-04-28,PL01,433,422
2020-04-28,PL02,578,561
2020-04-28,PL03,56,51
2020-04-28,PL04,303,299
2020-04-28,PL05,548,529
2020-04-29,PL01,216,203
2020-04-29,PL02,680,679
2020-04-29,PL03,687,676
2020-04-29,PL04,82,66
2020-04-29,PL05,476,462
2020-04-30,PL01,656,654
2020-04-30,PL02,288,274
2020-04-30,PL03,249,230
2020-04-30,PL04,380,363
2020-04-30,PL05,674,671
2020-05-01,PL01,483,470
2020-05-01,PL02,397,391
2020-05-01,PL03,563,556
2020-05-01,PL04,366,347
2020-05-01,PL05,113,94
2020-05-02,PL01,427,417
2020-05-02,PL02,63,55
2020-05-02,PL03,650,648
2020-05-02,PL04,662,661
2020-05-02,PL05,102,83
2020-05-03,PL01,497,491
2020-05-03,PL02,89,77
2020-05-03,PL03,516,511
2020-05-03,PL04,335,316
2020-05-03,PL05,408,402
2020-05-04,PL01,640,626
2020-05-04,PL02,174,170
2020-05-04,PL03,645,640
2020-05-04,PL04,482,482
2020-05-04,PL05,234,218
2020-05-05,PL01,598,590
2020-05-05,PL02,455,438
2020-05-05,PL03,547,534
2020-05-05,PL04,465,458
2020-05-05,PL05,468,460
2020-05-06,PL01,230,219
2020-05-06,PL02,368,358
2020-05-06,PL03,554,550
2020-05-06,PL04,567,560
2020-05-06,PL05,501,499
2020-05-07,PL01,473,454
2020-05-07,PL02,89,86
2020-05-07,PL03,59,49
2020-05-07,PL04,168,167
2020-05-07,PL05,425,406
2020-05-08,PL01,572,563
2020-05-08,PL02,473,456
2020-05-08,PL03,139,121
2020-05-08,PL04,229,216
2020-05-08,PL05,307,307
2020-05-09,PL01,477,468
2020-05-09,PL02,629,623
2020-05-09,PL03,537,532
2020-05-09,PL04,258,252
2020-05-09,PL05,410,403
2020-05-10,PL01,162,159
2020-05-10,PL02,655,649
2020-05-10,PL03,56,42
2020-05-10,PL04,536,518
2020-05-10,PL05,656,650
2020-05-11,PL01,271,257
2020-05-11,PL02,189,187
2020-05-11,PL03,175,163
2020-05-11,PL04,277,258
2020-05-11,PL05,597,589
2020-05-12,PL01,199,195
2020-05-12,PL02,631,621
2020-05-12,PL03,688,687
2020-05-12,PL04,341,326
2020-05-12,PL05,562,546
2020-05-13,PL01,317,317
2020-05-13,PL02,581,567
2020-05-13,PL03,343,332
2020-05-13,PL04,218,210
2020-05-13,PL05,233,221
2020-05-14,PL01,527,527
2020-05-14,PL02,160,157
2020-05-14,PL03,375,357
2020-05-14,PL04,607,594
2020-05-14,PL05,421,421
2020-05-15,PL01,545,532
2020-05-15,PL02,463,462
2020-05-15,PL03,68,56
2020-05-15,PL04,489,470
2020-05-15,PL05,413,409
2020-05-16,PL01,572,571
2020-05-16,PL02,677,673
2020-05-16,PL03,199,180
2020-05-16,PL04,243,236
2020-05-16,PL05,488,478
2020-05-17,PL01,449,431
2020-05-17,PL02,217,201
2020-05-17,PL03,296,288
2020-05-17,PL04,104,93
2020-05-17,PL05,374,365
2020-05-18,PL01,169,161
2020-05-18,PL02,684,672
2020-05-18,PL03,431,425
2020-05-18,PL04,481,466
2020-05-18,PL05,505,498
2020-05-19,PL01,351,350
2020-05-19,PL02,133,128
2020-05-19,PL03,389,375
2020-05-19,PL04,468,453
2020-05-19,PL05,284,284
2020-05-20,PL01,344,344
2020-05-20,PL02,631,613
2020-05-20,PL03,523,520
2020-05-20,PL04,150,148
2020-05-20,PL05,447,446
2020-05-21,PL01,552,536
2020-05-21,PL02,648,629
2020-05-21,PL03,134,132
2020-05-21,PL04,304,292
2020-05-21,PL05,348,338
2020-05-22,PL01,593,579
2020-05-22,PL02,447,445
2020-05-22,PL03,339,332
2020-05-22,PL04,484,484
2020-05-22,PL05,568,550
2020-05-23,PL01,299,288
2020-05-23,PL02,403,395
2020-05-23,PL03,392,378
2020-05-23,PL04,102,98
2020-05-23,PL05,199,199
2020-05-24,PL01,555,554
2020-05-24,PL02,132,113
2020-05-24,PL03,689,674
2020-05-24,PL04,465,454
2020-05-24,PL05,478,461
2020-05-25,PL01,524,521
2020-05-25,PL02,226,226
2020-05-25,PL03,239,236
2020-05-25,PL04,662,650
2020-05-25,PL05,106,106
2020-05-26,PL01,279,261
2020-05-26,PL02,186,172
2020-05-26,PL03,214,213
2020-05-26,PL04,492,479
2020-05-26,PL05,94,80
2020-05-27,PL01,159,149
2020-05-27,PL02,438,434
2020-05-27,PL03,256,239
2020-05-27,PL04,445,435
2020-05-27,PL05,278,264
2020-05-28,PL01,680,673
2020-05-28,PL02,391,376
2020-05-28,PL03,186,171
2020-05-28,PL04,596,579
2020-05-28,PL05,442,430
2020-05-29,PL01,335,329
2020-05-29,PL02,298,295
2020-05-29,PL03,608,599
2020-05-29,PL04,186,174
2020-05-29,PL05,274,264
2020-05-30,PL01,155,149
2020-05-30,PL02,295,293
2020-05-30,PL03,692,682
2020-05-30,PL04,659,644
2020-05-30,PL05,234,221
2020-05-31,PL01,424,420
2020-05-31,PL02,618,603
2020-05-31,PL03,610,601
2020-05-31,PL04,475,470
2020-05-31,PL05,318,315
2020-06-01,PL01,235,230
2020-06-01,PL02,293,282
2020-06-01,PL03,287,283
2020-06-01,PL04,493,489
2020-06-01,PL05,268,263
2020-06-02,PL01,493,483
2020-06-02,PL02,518,503
2020-06-02,PL03,625,612
2020-06-02,PL04,190,183
2020-06-02,PL05,593,587
2020-06-03,PL01,562,548
2020-06-03,PL02,188,177
2020-06-03,PL03,651,638
2020-06-03,PL04,215,205
2020-06-03,PL05,363,345
2020-06-04,PL01,691,678
2020-06-04,PL02,81,72
2020-06-04,PL03,670,666
2020-06-04,PL04,688,674
2020-06-04,PL05,455,446
2020-06-05,PL01,213,203
2020-06-05,PL02,275,268
2020-06-05,PL03,146,142
2020-06-05,PL04,86,79
2020-06-05,PL05,59,47
2020-06-06,PL01,240,221
2020-06-06,PL02,248,232
2020-06-06,PL03,426,413
2020-06-06,PL04,299,281
2020-06-06,PL05,477,466
2020-06-07,PL01,309,302
2020-06-07,PL02,616,616
2020-06-07,PL03,279,265
2020-06-07,PL04,162,161
2020-06-07,PL05,353,338
2020-06-08,PL01,685,684
2020-06-08,PL02,585,574
2020-06-08,PL03,278,264
2020-06-08,PL04,53,47
2020-06-08,PL05,179,169
2020-06-09,PL01,364,347
2020-06-09,PL02,67,61
2020-06-09,PL03,157,153
2020-06-09,PL04,529,514
2020-06-09,PL05,630,630
2020-06-10,PL01,342,332
2020-06-10,PL02,511,498
2020-06-10,PL03,675,659
2020-06-10,PL04,603,596
2020-06-10,PL05,436,424
2020-06-11,PL01,273,271
2020-06-11,PL02,309,291
2020-06-11,PL03,382,379
2020-06-11,PL04,221,203
2020-06-11,PL05,513,508
2020-06-12,PL01,108,98
2020-06-12,PL02,171,164
2020-06-12,PL03,535,529
2020-06-12,PL04,181,181
2020-06-12,PL05,482,466
2020-06-13,PL01,474,468
2020-06-13,PL02,638,635
2020-06-13,PL03,578,578
2020-06-13,PL04,200,190
2020-06-13,PL05,284,266
2020-06-14,PL01,465,449
2020-06-14,PL02,373,372
2020-06-14,PL03,266,263
2020-06-14,PL04,661,649
2020-06-14,PL05,532,529
2020-06-15,PL01,397,391
2020-06-15,PL02,565,551
2020-06-15,PL03,300,296
2020-06-15,PL04,214,207
2020-06-15,PL05,604,603
2020-06-16,PL01,378,364
2020-06-16,PL02,395,394
2020-06-16,PL03,515,499
2020-06-16,PL04,665,663
2020-06-16,PL05,269,268
2020-06-17,PL01,181,179
2020-06-17,PL02,525,519
2020-06-17,PL03,139,135
2020-06-17,PL04,476,466
2020-06-17,PL05,655,644
2020-06-18,PL01,213,208
2020-06-18,PL02,61,45
2020-06-18,PL03,238,229
2020-06-18,PL04,599,599
2020-06-18,PL05,486,467
2020-06-19,PL01,448,442
2020-06-19,PL02,331,320
2020-06-19,PL03,230,218
2020-06-19,PL04,90,80
2020-06-19,PL05,257,249
2020-06-20,PL01,614,606
2020-06-20,PL02,317,309
2020-06-20,PL03,503,486
2020-06-20,PL04,688,687
2020-06-20,PL05,570,566
2020-06-21,PL01,432,417
2020-06-21,PL02,301,282
2020-06-21,PL03,531,512
2020-06-21,PL04,97,80
2020-06-21,PL05,290,277
2020-06-22,PL01,528,510
2020-06-22,PL02,546,546
2020-06-22,PL03,309,294
2020-06-22,PL04,659,655
2020-06-22,PL05,253,240
2020-06-23,PL01,66,55
2020-06-23,PL02,443,424
2020-06-23,PL03,387,383
2020-06-23,PL04,627,624
2020-06-23,PL05,71,61
2020-06-24,PL01,337,337
2020-06-24,PL02,418,403
2020-06-24,PL03,87,85
2020-06-24,PL04,150,146
2020-06-24,PL05,538,523
2020-06-25,PL01,524,519
2020-06-25,PL02,406,399
2020-06-25,PL03,536,521
2020-06-25,PL04,660,656
2020-06-25,PL05,335,330
2020-06-26,PL01,207,202
2020-06-26,PL02,274,262
2020-06-26,PL03,596,588
2020-06-26,PL04,309,300
2020-06-26,PL05,113,105
2020-06-27,PL01,609,607
2020-06-27,PL02,188,178
2020-06-27,PL03,70,56
2020-06-27,PL04,355,348
2020-06-27,PL05,247,244
2020-06-28,PL01,438,425
2020-06-28,PL02,442,440
2020-06-28,PL03,341,325
2020-06-28,PL04,657,638
2020-06-28,PL05,462,452
2020-06-29,PL01,662,646
2020-06-29,PL02,218,215
2020-06-29,PL03,545,530
2020-06-29,PL04,399,386
2020-06-29,PL05,451,436
2020-06-30,PL01,467,455
2020-06-30,PL02,644,642
2020-06-30,PL03,114,101
2020-06-30,PL04,631,627
2020-06-30,PL05,64,56
2020-07-01,PL01,57,51
2020-07-01,PL02,458,441
2020-07-01,PL03,654,636
2020-07-01,PL04,417,414
2020-07-01,PL05,186,185
2020-07-02,PL01,292,277
2020-07-02,PL02,557,553
2020-07-02,PL03,208,204
2020-07-02,PL04,499,498
2020-07-02,PL05,358,344
2020-07-03,PL01,300,300
2020-07-03,PL02,640,627
2020-07-03,PL03,658,651
2020-07-03,PL04,559,556
2020-07-03,PL05,657,655
2020-07-04,PL01,52,46
2020-07-04,PL02,581,564
2020-07-04,PL03,602,587
2020-07-04,PL04,177,160
